iter	Passed	Remaining
411	4458	28004
412	4469	27997
413	4481	27992
414	4487	27952
415	4498	27942
416	4511	27944
417	4517	27906
418	4523	27863
419	4535	27858
420	4544	27839
421	4553	27816
422	4563	27804
423	4569	27763
424	4580	27753
425	4589	27730
426	4600	27720
427	4611	27714
428	4624	27716
429	4637	27715
430	4650	27718
431	4656	27679
432	4662	27643
433	4676	27650
434	4690	27656
435	4702	27653
436	4711	27633
437	4721	27618
438	4734	27618
439	4745	27610
440	4758	27610
441	4771	27611
442	4782	27605
443	4794	27603
444	4801	27568
445	4807	27527
446	4817	27516
447	4823	27477
448	4833	27461
449	4845	27460
450	4854	27437
451	4867	27439
452	4880	27439
453	4889	27418
454	4894	27378
455	4906	27375
456	4912	27337
457	4925	27337
458	4931	27298
459	4936	27259
460	4948	27253
461	4961	27258
462	4969	27228
463	4981	27227
464	4992	27219
465	5003	27210
466	5015	27203
467	5020	27162
468	5031	27150
469	5043	27148
470	5056	27148
471	5067	27143
472	5073	27105
473	5086	27106
474	5100	27115
475	5108	27090
476	5118	27074
477	5126	27048
478	5138	27042
479	5143	27005
480	5155	27001
481	5163	26976
482	5176	26974
483	5186	26963
484	5198	26958
485	5209	26948
486	5222	26948
487	5233	26941
488	5244	26931
489	5251	26900
490	5261	26884
491	5274	26886
492	5283	26865
493	5294	26858
494	5305	26849
495	5316	26841
496	5329	26839
497	5341	26837
498	5353	26832
499	5365	26829
500	5378	26829
501	5390	26825
502	5402	26817
503	5414	26812
504	5421	26786
505	5428	26758
506	5441	26758
507	5452	26749
508	5463	26739
509	5469	26703
510	5480	26695
511	5489	26676
512	5502	26678
513	5508	26643
514	5521	26644
515	5534	26643
516	5547	26641
517	5558	26632
518	5567	26614
519	5580	26613
520	5592	26608
521	5599	26581
522	5610	26569
523	5617	26542
524	5629	26538
525	5642	26541
526	5653	26531
527	5665	26522
528	5676	26515
529	5689	26513
530	5702	26514
531	5713	26504
532	5723	26489
533	5730	26461
534	5737	26434
535	5747	26420
536	5756	26404
537	5768	26398
538	5779	26386
539	5789	26374
540	5799	26359
541	5812	26360
542	5823	26349
543	5829	26319
544	5840	26306
545	5850	26293
546	5861	26283
547	5872	26275
548	5883	26268
549	5895	26263
550	5908	26259
551	5917	26244
552	5929	26237
553	5942	26235
554	5951	26217
555	5961	26204
556	5973	26199
557	5985	26196
558	5991	26163
559	6002	26155
560	6011	26136
561	6025	26139
562	6036	26130
563	6046	26116
564	6060	26117
565	6070	26104
566	6081	26094
567	6092	26087
568	6099	26061
569	6112	26057
570	6122	26044
571	6134	26038
572	6146	26032
573	6160	26035
574	6172	26031
575	6185	26030
576	6197	26024
577	6208	26014
578	6221	26014
579	6235	26015
580	6247	26011
581	6262	26016
582	6275	26017
583	6286	26007
584	6297	25996
585	6310	25996
586	6321	25984
587	6334	25984
588	6344	25972
589	6352	25947
590	6362	25936
591	6374	25927
592	6387	25926
593	6400	25926
594	6415	25930
595	6429	25932
596	6439	25921
597	6451	25915
598	6464	25912
599	6471	25887
600	6481	25873
601	6493	25865
602	6504	25857
603	6513	25837
604	6521	25818
605	6528	25791
606	6539	25780
607	6549	25766
608	6561	25760
609	6573	25756
610	6582	25736
611	6593	25726
612	6603	25712
613	6615	25707
614	6625	25692
615	6633	25670
616	6643	25660
617	6656	25657
618	6669	25653
619	6676	25627
620	6687	25619
621	6698	25610
622	6709	25600
623	6721	25591
624	6733	25588
625	6744	25575
626	6753	25561
627	6764	25548
628	6778	25550
629	6789	25541
630	6801	25534
631	6810	25516
632	6822	25511
633	6835	25510
634	6847	25502
635	6858	25493
636	6870	25487
637	6883	25482
638	6896	25482
639	6910	25480
640	6923	25480
641	6935	25473
642	6942	25448
643	6953	25438
644	6963	25425
645	6975	25418
646	6988	25416
647	6995	25391
648	7005	25376
649	7012	25352
650	7018	25324
651	7027	25309
652	7039	25302
653	7051	25295
654	7063	25286
655	7072	25270
656	7082	25258
657	7093	25247
658	7105	25242
659	7117	25233
660	7126	25219
661	7140	25218
662	7150	25204
663	7160	25192
664	7172	25184
665	7183	25173
666	7195	25167
667	7208	25165
668	7220	25159
669	7231	25149
670	7243	25140
671	7253	25126
672	7264	25117
673	7274	25104
674	7284	25089
675	7296	25084
676	7304	25064
677	7316	25058
678	7329	25054
679	7342	25051
680	7356	25050
681	7370	25050
682	7382	25045
683	7393	25034
684	7404	25025
685	7417	25022
686	7424	24998
687	7435	24985
688	7447	24980
689	7460	24976
690	7469	24961
691	7480	24948
692	7491	24938
693	7501	24924
694	7510	24909
695	7523	24905
696	7531	24885
697	7539	24866
698	7550	24855
699	7562	24847
700	7573	24839
701	7584	24829
702	7597	24823
703	7608	24813
704	7617	24796
705	7629	24789
706	7642	24787
707	7653	24778
708	7664	24767
709	7677	24763
710	7688	24751
711	7699	24741
712	7709	24730
713	7722	24726
714	7736	24722
715	7748	24717
716	7760	24710
717	7773	24706
718	7785	24697
719	7793	24679
720	7800	24657
721	7811	24645
722	7822	24636
723	7834	24628
724	7841	24607
725	7853	24599
726	7865	24592
727	7878	24586
728	7888	24574
729	7897	24558
730	7907	24543
731	7921	24542
732	7933	24536
733	7941	24516
734	7952	24505
735	7964	24499
736	7976	24491
737	7987	24481
738	8000	24476
739	8008	24458
740	8018	24444
741	8030	24438
742	8042	24430
743	8055	24426
744	8063	24406
745	8076	24402
746	8088	24394
747	8099	24383
748	8110	24374
749	8123	24370
750	8134	24359
751	8147	24355
752	8155	24337
753	8164	24320
754	8175	24311
755	8188	24305
756	8199	24294
757	8211	24286
758	8220	24271
759	8232	24263
760	8241	24248
761	8248	24226
762	8257	24210
763	8268	24200
764	8280	24191
765	8289	24176
766	8301	24167
767	8311	24155
768	8323	24147
769	8333	24135
770	8343	24121
771	8352	24105
772	8364	24097
773	8377	24092
774	8385	24075
775	8398	24070
776	8408	24056
777	8415	24035
778	8428	24031
779	8439	24020
780	8452	24014
781	8464	24008
782	8478	24005
783	8488	23993
784	8500	23985
785	8514	23983
786	8526	23975
787	8538	23969
788	8548	23954
789	8560	23948
790	8572	23941
791	8584	23933
792	8593	23915
793	8603	23902
794	8614	23893
795	8627	23887
796	8638	23877
797	8650	23870
798	8664	23869
799	8674	23855
800	8686	23847
801	8694	23829
802	8704	23816
803	8715	23804
804	8724	23788
805	8736	23781
806	8748	23773
807	8762	23770
808	8772	23757
809	8784	23751
810	8796	23743
811	8808	23736
812	8819	23724
813	8829	23711
814	8842	23706
815	8851	23690
816	8860	23674
817	8871	23664
818	8883	23657
819	8895	23648
820	8907	23641
821	8919	23633
822	8930	23622
823	8941	23612
824	8955	23608
825	8967	23602
826	8979	23593
827	8990	23583
828	9000	23570
829	9009	23555
830	9022	23549
831	9034	23542
832	9046	23534
833	9057	23522
834	9066	23506
835	9077	23498
836	9088	23486
837	9100	23477
838	9109	23463
839	9119	23449
840	9128	23435
841	9136	23417
842	9148	23407
843	9159	23397
844	9174	23397
845	9187	23391
846	9197	23378
847	9208	23368
848	9218	23355
849	9230	23346
850	9237	23328
851	9250	23322
852	9263	23315
853	9275	23307
854	9285	23294
855	9294	23280
856	9305	23269
857	9317	23260
858	9325	23243
859	9333	23226
860	9347	23221
861	9358	23212
862	9371	23206
863	9380	23190
864	9391	23179
865	9403	23172
866	9413	23158
867	9424	23148
868	9439	23147
869	9452	23141
870	9464	23135
871	9477	23128
872	9491	23124
873	9499	23106
874	9509	23095
875	9520	23083
876	9531	23073
877	9540	23058
878	9547	23038
879	9558	23027
880	9569	23016
881	9582	23010
882	9594	23003
883	9609	23001
884	9619	22990
885	9630	22977
886	9642	22970
887	9652	22956
888	9664	22948
889	9677	22944
890	9690	22938
891	9705	22936
892	9716	22926
893	9728	22917
894	9740	22908
895	9749	22893
896	9762	22887
897	9774	22880
898	9787	22873
899	9797	22860
900	9807	22847
901	9819	22840
902	9834	22839
903	9846	22829
904	9858	22822
905	9873	22821
906	9888	22819
907	9901	22813
908	9915	22809
909	9929	22804
910	9939	22792
911	9951	22784
912	9963	22774
913	9973	22762
914	9987	22759
915	10000	22753
916	10013	22745
917	10025	22737
918	10036	22727
919	10049	22719
920	10060	22710
921	10074	22706
922	10084	22693
923	10097	22687
924	10108	22676
925	10121	22669
926	10131	22656
927	10140	22641
928	10153	22635
929	10165	22626
930	10173	22609
931	10185	22600
932	10196	22589
933	10205	22575
934	10216	22564
935	10228	22555
936	10242	22550
937	10252	22537
938	10257	22514
939	10270	22507
940	10280	22494
941	10290	22482
942	10302	22473
943	10311	22459
944	10320	22442
945	10329	22428
946	10340	22416
947	10351	22405
948	10363	22397
949	10375	22388
950	10385	22376
951	10397	22367
952	10409	22359
953	10419	22347
954	10431	22337
955	10442	22326
956	10452	22314
957	10461	22299
958	10470	22283
959	10480	22270
960	10491	22260
961	10501	22248
962	10512	22235
963	10526	22231
964	10537	22220
965	10551	22216
966	10559	22199
967	10569	22186
968	10579	22175
969	10592	22167
970	10599	22148
971	10611	22139
972	10622	22128
973	10633	22118
974	10645	22109
975	10655	22097
976	10668	22089
977	10679	22080
978	10688	22064
979	10698	22051
980	10706	22035
981	10714	22018
982	10727	22012
983	10734	21993
984	10742	21976
985	10753	21965
986	10765	21956
987	10776	21946
988	10788	21936
989	10800	21928
990	10810	21914
991	10821	21904
992	10834	21898
993	10846	21889
994	10856	21877
995	10870	21871
996	10883	21865
997	10892	21849
998	10904	21840
999	10916	21832
1000	10926	21819
1001	10939	21814
1002	10950	21802
1003	10961	21792
1004	10973	21783
1005	10983	21769
1006	10996	21763
1007	11008	21754
1008	11016	21738
1009	11026	21724
1010	11037	21714
1011	11047	21702
1012	11059	21692
1013	11071	21683
1014	11081	21671
1015	11091	21659
1016	11104	21652
1017	11116	21642
1018	11127	21633
1019	11137	21619
1020	11149	21610
1021	11157	21594
1022	11168	21583
1023	11181	21577
1024	11194	21570
1025	11208	21565
1026	11221	21558
1027	11231	21544
1028	11243	21536
1029	11254	21524
1030	11265	21515
1031	11277	21506
1032	11287	21492
1033	11299	21483
1034	11308	21468
1035	11317	21455
1036	11327	21441
1037	11336	21427
1038	11345	21413
1039	11358	21405
1040	11368	21393
1041	11379	21383
1042	11392	21376
1043	11403	21364
1044	11416	21357
1045	11428	21348
1046	11439	21337
1047	11451	21328
1048	11463	21320
