iter	RMSE
0	0.1387743401
1	0.1356780021
2	0.1326800938
3	0.1298059608
4	0.1270274444
5	0.12440951
6	0.1218540748
7	0.1193941852
8	0.1170083546
9	0.11471987
10	0.1125359664
11	0.1103975199
12	0.1083748797
13	0.1063792648
14	0.1045089006
15	0.1027120818
16	0.1009932218
17	0.09936979519
18	0.09779299892
19	0.09620316834
20	0.09469679271
21	0.09330539888
22	0.09194568023
23	0.09066589571
24	0.08942669057
25	0.08820144095
26	0.08708841037
27	0.08602440046
28	0.08498974263
29	0.08402506037
30	0.08302892662
31	0.08219983962
32	0.08131346085
33	0.08045223514
34	0.07965376846
35	0.07892185957
36	0.07819603916
37	0.07752623479
38	0.07688486597
39	0.07622205912
40	0.07564300908
41	0.07506150898
42	0.07454905216
43	0.07401646212
44	0.07353247856
45	0.0730240072
46	0.07256803513
47	0.0721732575
48	0.07176971775
49	0.07137511515
50	0.07100450077
51	0.07066737812
52	0.07035857897
53	0.0700378545
54	0.06971302455
55	0.06940042384
56	0.06913029247
57	0.06884459998
58	0.06856558855
59	0.06833525146
60	0.06809659802
61	0.06786157077
62	0.06763357517
63	0.0674026526
64	0.06722240519
65	0.0670209702
66	0.06684288616
67	0.06667765308
68	0.06650564587
69	0.06632326537
70	0.06617967796
71	0.06603954751
72	0.06588462109
73	0.06573185151
74	0.0656098171
75	0.06548250927
76	0.06535366908
77	0.06523132742
78	0.06512282004
79	0.06502581478
80	0.0649392898
81	0.06484748549
82	0.06476273776
83	0.06467635513
84	0.0645890888
85	0.06449652868
86	0.06440969583
87	0.06431802494
88	0.06423788018
89	0.06414730002
90	0.06406667115
91	0.0639997114
92	0.06393726761
93	0.06387657074
94	0.06378196901
95	0.06371368362
96	0.06362012395
97	0.0635654139
98	0.06349032293
99	0.06344486165
100	0.06338181318
101	0.0633217566
102	0.06327298918
103	0.06320387269
104	0.06313880458
105	0.06308806595
106	0.06303578182
107	0.06298359709
108	0.06294051629
109	0.0628893005
110	0.06280775786
111	0.06275680525
112	0.06268587909
113	0.06261774937
114	0.06256149536
115	0.06248672622
116	0.06243411894
117	0.06236528529
118	0.06231925248
119	0.06228406604
120	0.06225898892
121	0.06223313012
122	0.06216222125
123	0.06213246872
124	0.06206292513
125	0.06202563416
126	0.06199758447
127	0.06197277311
128	0.06189290653
129	0.06184134843
130	0.06177061074
131	0.06173925087
132	0.06171150062
133	0.06165880356
134	0.0616322402
135	0.06161101288
136	0.06155984321
137	0.06149594092
138	0.06146283828
139	0.06143223114
140	0.06141152583
141	0.06137187495
142	0.06133910093
143	0.06130180703
144	0.06127199895
145	0.06124944491
146	0.06123296898
147	0.06113802279
148	0.06109766732
149	0.06106724476
150	0.06104974754
151	0.06103013306
152	0.0610062602
153	0.06099070689
154	0.0609548216
155	0.06093098646
156	0.06091416766
157	0.06087379929
158	0.06084003157
159	0.06081150761
160	0.06079594873
161	0.06078318537
162	0.06077188405
163	0.06075448811
164	0.06073097381
165	0.0606975748
166	0.06069203096
167	0.06067345296
168	0.060653142
169	0.06063288372
170	0.06061209128
171	0.06056886179
172	0.06053831206
173	0.06051234102
174	0.06050329622
175	0.06050320967
176	0.06048235535
177	0.06048221827
178	0.06045800116
179	0.06043437748
180	0.06041159713
181	0.06039535407
182	0.06036068149
183	0.06032489234
184	0.06028319251
185	0.06027160233
186	0.06027122735
187	0.06026270718
188	0.06026007883
189	0.06020950261
190	0.06018117711
191	0.06016254595
192	0.0601623766
193	0.06014904748
194	0.06013595367
195	0.0601185213
196	0.0601008514
197	0.06006404154
198	0.06004652084
199	0.06004496613
200	0.06001790462
201	0.05999779694
202	0.05997121802
203	0.05995716395
204	0.05994584139
205	0.0599250237
206	0.05992119833
207	0.05989477376
208	0.05988802865
209	0.059874927
210	0.05986070468
211	0.05982275583
212	0.05980799548
213	0.0598032788
214	0.05979703731
215	0.05978993277
216	0.05977072938
217	0.05976377066
218	0.05975255254
219	0.0597523572
220	0.05972618969
221	0.05971862611
222	0.05970313462
223	0.05970306121
224	0.05969040282
225	0.05966196772
226	0.05964258045
227	0.05963473187
228	0.05963274415
229	0.05958901646
230	0.05958876906
231	0.05957481219
232	0.05956572277
233	0.05954864293
234	0.0595342435
235	0.05952621239
236	0.05951309044
237	0.0594734788
238	0.05944575934
239	0.05941771297
240	0.05940484181
241	0.05936509928
242	0.05934212717
243	0.05931750837
244	0.05931679659
245	0.05928913618
246	0.05926503365
247	0.05921678401
248	0.05921108913
249	0.05919842647
250	0.05919089799
251	0.05917416983
252	0.05916894252
253	0.05915754384
254	0.05914568125
255	0.05913736138
256	0.0591315416
257	0.0591178658
258	0.05911762631
259	0.05909847901
260	0.05908354941
261	0.05908343203
262	0.05907903214
263	0.05906935568
264	0.05906656436
265	0.05904084351
266	0.05899940665
267	0.05895839291
268	0.05894424429
269	0.05890609317
270	0.0588924469
271	0.05888749553
272	0.05887946716
273	0.05885453727
274	0.0588420791
275	0.05882155841
276	0.05879259254
277	0.05877798032
278	0.05876778284
279	0.05874376266
280	0.05869941728
281	0.05869648876
282	0.05866971612
283	0.05865853759
284	0.0586427957
285	0.05864000245
286	0.05863182497
287	0.05861424448
288	0.05861159284
289	0.05859900042
290	0.05859900042
291	0.05858741865
292	0.05856585345
293	0.05856573383
294	0.05855117133
295	0.05854515226
296	0.0585185265
297	0.05849760144
298	0.05849093802
299	0.05847802651
300	0.05846031584
301	0.05846002444
302	0.05843826451
303	0.05842204737
304	0.05841678661
305	0.05840423105
306	0.0583982711
307	0.05837329862
308	0.05836315505
309	0.0583495996
310	0.05834104576
311	0.05832155707
312	0.05831023041
313	0.0583080037
314	0.05830345065
315	0.05829918412
316	0.05829164162
317	0.05827913066
318	0.05827879508
319	0.0582561005
320	0.05824229878
321	0.05823552537
322	0.05822413724
323	0.05821478255
324	0.05820371527
325	0.05820370961
326	0.05819009683
327	0.05818972052
328	0.05817813088
329	0.05816763761
330	0.05816743504
331	0.05816580107
332	0.05815822458
333	0.05811874682
334	0.05810897506
335	0.05810397751
336	0.05810357958
337	0.05808471676
338	0.05807128894
339	0.05807121338
340	0.05807103781
341	0.058054029
342	0.05804017301
343	0.05803738859
344	0.05802479523
345	0.05801392448
346	0.05799923668
347	0.05799879074
348	0.0579870672
349	0.05797752784
350	0.05795752938
351	0.05795729268
352	0.05793879727
353	0.05792990122
354	0.05789788459
355	0.05788216271
356	0.05788115718
357	0.05787410367
358	0.05787399389
359	0.05786453121
360	0.05785542173
361	0.05785512481
362	0.05785511853
363	0.0578206661
364	0.05781242036
365	0.05777994475
366	0.05777199702
367	0.0577585967
368	0.05775849451
369	0.05775784407
370	0.05775755636
371	0.05773421378
372	0.05772513487
373	0.05772507727
374	0.05770474689
375	0.05765269684
376	0.05763767631
377	0.05762798179
378	0.05761604735
379	0.0576030308
380	0.05759442873
381	0.05758729223
382	0.05754661886
383	0.05753538808
384	0.0575341063
385	0.05753338151
386	0.05753303036
387	0.05750005136
388	0.05747856167
389	0.05746084
390	0.05743929921
391	0.05743915759
392	0.0574387358
393	0.05743229233
394	0.05743166819
395	0.05742817943
396	0.05740678214
397	0.05739508712
398	0.0573608039
399	0.05733836259
400	0.057338092
401	0.05729469772
402	0.05726851594
403	0.05725771644
404	0.05721394582
405	0.05720544778
406	0.05719023953
407	0.05717621631
408	0.05714132225
409	0.05713303678
410	0.05712321558
411	0.05708932703
412	0.05708139895
413	0.05707520315
414	0.05707460048
415	0.05706087517
416	0.05704207928
417	0.05704155645
418	0.057041462
419	0.05700406753
420	0.05700400712
421	0.05700376365
422	0.05698624444
423	0.05698577951
424	0.05697663746
425	0.05697077372
426	0.05693451114
427	0.05692484569
428	0.05691210082
429	0.056899041
430	0.05688592763
431	0.05688577998
432	0.05688560317
433	0.05687482862
434	0.05686199452
435	0.05685030779
436	0.05684360828
437	0.05680931479
438	0.05679878022
439	0.056772891
440	0.05676311677
441	0.0567536709
442	0.05672486046
443	0.05671495162
444	0.05671486699
445	0.05671473705
446	0.05671017213
447	0.05671008696
448	0.05669640424
449	0.05668774757
450	0.05668414649
451	0.05667515226
452	0.05665832048
453	0.05665361618
454	0.05665343886
455	0.0566428462
456	0.05664268088
457	0.05662998623
458	0.05662984545
459	0.05662964938
460	0.05661213553
461	0.05659745437
462	0.05659735377
463	0.05658887416
464	0.05655095761
465	0.05653513868
466	0.05652175843
467	0.05652160236
468	0.05649016431
469	0.05647439527
470	0.05646642777
471	0.05644518341
472	0.05644472905
473	0.05643578791
474	0.05642550523
475	0.05641622563
476	0.05638640875
477	0.05638615822
478	0.05637810536
479	0.05637794078
480	0.0563692475
481	0.05635781039
482	0.05634602905
483	0.05633172701
484	0.05631578791
485	0.05630660407
486	0.05629653358
487	0.0562722127
488	0.05626333906
489	0.05626331262
490	0.05624389776
491	0.0562136642
492	0.05620565194
493	0.05619930653
494	0.05617894693
495	0.05617351654
496	0.05616127642
497	0.05615289114
498	0.05614075327
499	0.05613015396
500	0.05611991176
501	0.05611595811
502	0.0560873002
503	0.05607190362
504	0.05607167863
505	0.05605717866
506	0.05604920933
507	0.05604859026
508	0.05604676419
509	0.05604658007
510	0.05603871766
511	0.05601456826
512	0.05600693266
513	0.05600678912
514	0.05599620447
515	0.05598262055
516	0.05597531986
517	0.05596812367
518	0.05596139233
519	0.05595097006
520	0.05594146968
521	0.05593466079
522	0.05590997995
523	0.0559044572
524	0.05587741607
525	0.05586725201
526	0.05586395974
527	0.05586129321
528	0.05584522408
529	0.05583818317
530	0.05582862885
531	0.05581457177
532	0.05579540101
533	0.05579317091
534	0.05579307798
535	0.05578159591
536	0.05575323271
